,Scholarship Name,Eligibility,Region,Deadline,Award,Important Links,Description,Email,Contact Number,Contact Details,link,category
10,SOF International Hindi Olympiad (IHO) 2024-25,Class 3 to 10 students,India,Closed,"Up to ₹50,000 and other benefits","{'Apply online link': 'https://sofworld.org/iho/about-iho-exam/how-participate-sof-iho', 'Latest scholarship link': 'https://sofworld.org/iho/about-sof-international-hindi-olympiad-iho-exam'}","SOF International Hindi Olympiad (IHO) 2024-25 is an opportunity provided by the Science Olympiad Foundation (SOF)*for students of Class 3 to 10. The olympiad is being organised to give students a platform to showcase their talent and skills in Hindi subject. The selected students will stand a chance to receive up to ₹50,000 and other benefits.*SOF is an educational organisation established to promote Science, Mathematics, Computer Education, English, Social Studies, General Knowledge and professional courses.Source:Science Olympiad Foundation (SOF)",info@sofworld.org,9312680855,"Science Olympiad Foundation
1st Floor, Plot no. 99, Sector - 44,
Gurgaon (Haryana) - 122003
Email ID:
info@sofworld.org
| Phone number:
9312680855, 9312680857",https://sofworld.org/iho/about-iho-exam/how-participate-sof-iho,mixed
11,JM Sethia Merit Scholarship Scheme 2024,Students from Class 9 to Professional levels,India,Closed,"Up to ₹1,000 per month for course duration","{'Original website': 'http://www.jmstrust.com', 'Apply online link': 'https://www.jmstrust.com/activities.html'}","JM Sethia Merit Scholarship Scheme 2024 is an opportunity offered by the JM Sethia Charitable Trust (NGO)*to students enrolled in Class 9 to 12, graduation, postgraduation, and professional courses. This scheme aims to support students at various educational levels in pursuing their academic goals. Selected candidates can receive a monthly scholarship of up to ₹1,000, with the amount varying based on the course duration.*JM Sethia Charitable Trust (NGO) is an organisation that provides financial assistance to students in need.Source:JMS Charitable Trust",jms_trust@yahoo.in,93397-93153,"JM Sethia Charitable Trust
133, Biplabi Rash Behari Basu Road
3rd Floor, Room No. 15
Kolkata-700 001
Email ID:
jms_trust@yahoo.in
| Phone Number:
(+91) 93397-93153",http://www.jmstrust.com,monetary
12,The Next Genius Scholarship Program 2024,Students who are willing to puruse UG course in the specified courses in the United States,United States,Closed,Financial aid towards tuition fees ranging from 75% to 100% for full scholarships and 30% to 90% for partial scholarships,"{'Original website': 'https://www.next-genius.com/about-us', 'Latest scholarship link': 'https://www.next-genius.com/faqs', 'Apply online link': 'https://www.next-genius.com/'}",The Next Genius Scholarship Program 2024 is an opportunity offered by the Next Genius Foundation to students who are currently studying in Class 12 or have completed Class 12 and are taking a gap year. Selected students will receive financial aid specifically for their tuition fees. The scholarship amount varies with full scholarships covering 75% to 100% of tuition and partial scholarships covering 30% to 90%.Source:Next Genius Foundation,nextgeniusindia@gmail.com,9167787851,"The Next Genius Scholarship Program
B – 803, Hubtown Sunmist, Saiwadi,
Andheri East, Mumbai-400069, India
Email:
nextgeniusindia@gmail.com
| Phone number:
(+91) 9167787851",https://www.next-genius.com/about-us,mixed
13,SOF International Mathematics Olympiad (IMO) 2024-25,Class 1 to 12 students,India,Closed,"Up to ₹50,000 and other benefits","{'Apply online link': 'https://www.sofworld.org/imo/about-imo-exam/how-to-participate', 'Others': 'http://www.sofworld.org/imo/about-imo-exam/imo-faqs', 'Original website': 'https://www.sofworld.org/'}","SOF International Mathematics Olympiad (IMO) 2024-25 is an opportunity offered by the Science Olympiad Foundation (SOF) for the students of Class 1 to 12. This two-level examination aims to recognise outstanding performers at various levels, including school toppers, students with perfect scores, and rank holders at the school, zonal, and international levels. The selected students will stand a chance to receive up to ₹50,000 and other benefits.*SOF is an educational organisation established to promote Science, Mathematics, Computer Education, English, Social Studies, General Knowledge and professional courses.Source:Science Olympiad Foundation (SOF)",info@sofworld.org,9312680855,"Science Olympiad Foundation
1st Floor, Plot no. 99, Sector- 44
Gurgaon (Haryana) 122003, India
Email ID:
info@sofworld.org |
Landline Number:
(0124)-4951200 |
Mobile Number:
(+91)-9312680855, 9312680857",https://www.sofworld.org/,mixed
14,Vidyadhan Punjab Class 11 and 12 Scholarship Program 2024,Class 10 passed students,India,Closed,"₹10,000 per annum","{'Apply online link': 'https://www.vidyadhan.org/apply', 'Original website': 'https://www.vidyadhan.org/web/index.php'}","Vidyadhan Punjab Class 11 and 12 Scholarship Program 2024 is an opportunity offered by the Sarojini Damodaran Foundation to Class 10 passed students of the state. The selected candidates will receive ₹10,000 per annum.Established in 1999 by SD Shibulal (co-founder and former CEO, Infosys) and Kumari Shibulal (Sarojini Damodaran Foundation), the scheme aims to provide financial support to help transform the lives of the underprivileged students in society by contributing to their higher education.Source:Vidyadhan",vidyadhan.punjab@sdfoundationindia.com,9663517131,"Sarojini Damodaran Foundation
678, 11th Main Rd
4th T Block East, 4th Block
Jayanagar, Bengaluru
Karnataka - 560041
Email ID:
vidyadhan.punjab@sdfoundationindia.com
| Phone Number:
9663517131",https://www.vidyadhan.org/web/index.php,monetary
15,Fulbright Kalam Climate Fellowship for Post Doctoral Research 2025-26,Indian researchers in the early stages of their careers,United States,Closed,A monthly stipend and other benefits,"{'Apply online link': 'https://www.usief.org.in/Fellowships/Fulbright-Kalam-Postdoctoral-Research.aspx', 'Original website': 'https://www.usief.org.in/index.aspx'}","Fulbright-Kalam Climate Fellowship for Postdoctoral Research (2025-26), offered by the United States-India Educational Foundation (USIEF), to Indian researchers in the early stages of their careers. This fellowship program aims to strengthen their research capabilities by providing them with research opportunities in the United States. Fellows will gain access to top-notch resources in their fields and foster long-term collaborative relationships with US faculty and researchers. The selected fellows will receive a monthly stipend and other benefits.Source:United States-India Education Foundation (USIEF)",ffsp@usief.org.in,Null,"United States-India Educational Foundation,
12 Hailey Road,
New Delhi - 110001
Email Id:
ffsp@usief.org.in",https://www.usief.org.in/index.aspx,mixed
16,Vidyadhan Delhi Class 11 and 12 Scholarship Program 2024,Class 10 passed students,India,Closed,"₹10,000 per annum","{'Others': 'https://www.vidyadhan.org/web/index.php', 'Apply online link': 'https://www.vidyadhan.org/apply'}","Vidyadhan Delhi Class 11 and 12 Scholarship Program 2024 is an opportunity offered by the Sarojini Damodaran Foundation to Class 10 passed students of Delhi.Established in 1999 by SD Shibulal (Co-founder and former CEO, Infosys) and Kumari Shibulal, (Sarojini Damodaran Foundation), this financial support helps transform the lives of the underprivileged students in society by contributing to their higher education. The selected candidates will receive ₹10,000 per annum.Source:Vidyadhan",vidyadhan.delhi@sdfoundationindia.com,9663517131,"Sarojini Damodaran Foundation
678, 11th Main Rd
4th T Block East, 4th Block
Jayanagar, Bengaluru
Karnataka - 560041
Email ID:
vidyadhan.delhi@sdfoundationindia.com
| Phone Number:
9663517131",https://www.vidyadhan.org/apply,monetary
17,Fulbright Kalam Climate Fellowship for Academic and Professional Excellence 2025-26,"Indian faculty, researchers, and professionals",United States,Closed,"A monthly stipend, J-1 visa support, and other benefits","{'Original website': 'https://www.usief.org.in/index.aspx', 'Apply online link': 'https://www.usief.org.in/Fulbright-Kalam-Academic-and-Professional-Excellence.aspx'}","Fulbright Kalam Climate Fellowship for Academic and Professional Excellence 2025-26 is an opportunity offered by the United States-India Educational Foundation (USIEF), that empowers Indian faculty and researchers to teach, conduct research, or both, at a U.S. institution. The selected candidates will receive a monthly stipend, J-1 visa support, and other benefits.Source:United States-India Education Foundation (USIEF)",fvsp@usief.org.in,Null,"United States-India Educational Foundation,
12 Hailey Road,
New Delhi - 110001
Email ID
:
fvsp@usief.org.in
|
Phone Number:
(+9111) 4209-0909/2332-8944",https://www.usief.org.in/index.aspx,mixed
18,Prodigy Finance-GyanDhan Engineering Scholarship 2024,"Students willing to pursue Master's degree in Engineering in the USA, Canada, and UK.",India,Closed,"A one-time award of USD 2,500 (approx. ₹2,07,930.75)","{'Apply online link': 'https://www.gyandhan.com/scholarships/prodigy-engineering-scholarship', 'Original website': 'https://www.gyandhan.com/'}","Prodigy Finance-GyanDhan Engineering Scholarship is an opportunity offered by GyanDhan (India's first education financing marketplace) in partnership with Prodigy Finance*. This scholarship aims to make higher education accessible to students who want to pursue studies overseas. Under this scheme, a one-time award of USD 2,500 (₹2,07,930.75) will be provided to engineering applicants.*Prodigy Finance is a fintech platform that enables financing for international postgraduate students who attend a participating business school or postgraduate institution.Source:GyanDhan",contact@gyandhan.com,9311124830,"Gyandhan
First Floor, 262, Westend Marg,
Saiyad Ul Ajaib Extension, Saket,
New Delhi, Delhi - 110030
Email Id:
contact@gyandhan.com
| Phone Number:
(+91)-9311124830
Prodigy Finance
Hardy House
16-18 Beak Street, W1F9RD
London, United Kingdom
Enquiry Number:
000 800 9190 242 (India)",https://www.gyandhan.com/,monetary
19,Esri India Master's Scholarship Program 2024,Students in 2nd year of a postgraduate degree in Geoinformatics or a similar courses,India,Closed,"An annual scholarship award of ₹1,00,000","{'Original website': 'https://www.esri.in/en-in/home', 'Apply online link': 'https://www.esri.in/en-in/programs/masters-scholarships-in-gis/overview'}","Esri India Master's Scholarship Program 2024 is an opportunity offered by Esri India to students starting their second year of a postgraduate (M.Tech./M.Sc.) program in Geoinformatics or a related field that involves studying remote sensing, GIS, spatial modeling, spatial analysis, digital image processing, and similar subjects. A total of 10 selected students will receive an annual scholarship of ₹1,00,000.*Established in 1996, Esri India Technologies Pvt. Ltd. (Esri India) is an end-to-end Geographic Information Systems (GIS) solutions provider. They offer a comprehensive suite of tools under the name ArcGIS, which is a powerful mapping and location analytics platform.Source:Esri India",gis.education@esri.in,1800 1021918,"Esri India Technologies Limited
10th Floor, Max Towers,
Sector - 16B, Noida
Uttar Pradesh - 201301
Email ID:
gis.education@esri.in
| Phone Number
: 1800 1021918",https://www.esri.in/en-in/home,monetary
20,"Post-Matric Scholarship for ST, SC and MBC Students, Odisha 2023-24",Class 12 passed students of Odisha,India,Closed,Financial assistance for pursuing higher education,"{'Original website': 'https://scholarship.odisha.gov.in/website/home', 'Apply online link': 'https://scholarship.odisha.gov.in/website/scholarship-details'}","Post-Matric Scholarship for ST, SC and MBC Students, Odisha 2023-24 is an opportunity provided by the ST&SC and MBC Welfare Department of the Government of Odisha to students who are willing to pursue higher education in the specified disciplines. Selected candidates will receive financial assistance to complete their higher education.Source:Odisha State Scholarship Portal",scholarshipstsc@gmail.com,1800 3456770,"ST & SC Development, Minorities & Backward Classes Welfare Department
Lok Seba Bhawan (Odisha Secretariat)
Bhubaneswar-751001
Email ID:
scholarshipstsc@gmail.com
| Phone Number:
155335/1800 3456770",https://scholarship.odisha.gov.in/website/home,other
21,DRDO-ITR Chandipur Junior Research Fellowship & Research Associateship 2024,"B.E./B.Tech, M.E./M.Tech & Ph.D. degree holders",India,Closed,"Up to ₹67,000 per month and other benefits","{'Latest scholarship link': 'https://drdo.gov.in/drdo/career/walk-interview-award-research-fellowships-junior-research-fellow-jrf-research-associate-ra', 'Original website': 'https://drdo.gov.in/drdo/', 'Apply online link': 'https://drdo.gov.in/drdo/sites/default/files/career-vacancy-documents/advtITR13052024.pdf'}","DRDO-ITR Chandipur Junior Research Fellowship & Research Associateship 2024 is an opportunity offered by the Defence Research and Development Organisation (DRDO) to B.E./B.T.ech, M.E./M.Tech, and Ph.D. degree holders. Selected candidates will receive a fellowship of up to ₹67,000 per month with other benefits.Source:Defence Research and Development Organisation (DRDO)",director.ade@gov.in,Null,"Defence Research and Development Organisation (DRDO)
DRDO Bhawan, Rajaji Marg
New Delhi 110011
Email ID:
director.ade@gov.in
| Phone Number:
(+080) 2528 3404, 2505 7005, 2505 7007",https://drdo.gov.in/drdo/,mixed
22,PKC WEnyan Scholarship Program 2024,Women in Chemistry and allied fields,India,Closed,"A monthly scholarship of up to ₹15,000 and other benefits","{'Latest scholarship link': 'https://www.pkc.org.in/pkc-focus-area/capacity-building/stem-education/wenyan/', 'Apply online link': 'https://www.pkc.org.in/wp-content/uploads/2024/06/Wenyan_poster_awarenessslides.pdf'}","PKC WEnyan Scholarship Program 2024 is an opportunity provided by the Pune Knowledge Cluster (PKC)*, sponsored by BASF Chemicals India Pvt. Ltd.** females in chemistry and allied fields. The program aims to support women students from marginalized communities and low-income groups in Maharashtra to pursue educational and career opportunities in research and entrepreneurship in basic chemistry, speciality chemicals, agrochemicals, new materials, pharmaceuticals, medicinal chemistry, sustainability, and allied areas. Selected candidates will receive a monthly scholarship of up to ₹15,000 and other benefits.*Pune Knowledge Cluster (PKC) is an initiative aimed at promoting education and research in science and technology, with a focus on Pune, Maharashtra, India.**BASF Chemicals India Pvt. Ltd is a subsidiary of BASF SE, the world's largest chemical company.Source:Pune Knowledge Cluster",wenyan@pkc.org.in,78238 92474,"Pune Knowledge Cluster (PKC)
3rd floor, Placement Cell
Savitribai Phule Pune University
Ganeshkhind Rd, Ganeshkhind, Pune
Maharashtra 411007
Email ID:
wenyan@pkc.org.in
| Phone Number:
(+91) 78238 92474",https://www.pkc.org.in/wp-content/uploads/2024/06/Wenyan_poster_awarenessslides.pdf,mixed
23,Jagadis Bose National Science Talent Search Senior Scholarship Test (JBNSTS) 2024,Class 12 passed female students of West Bengal,India,Closed,"₹4,000 per month, an annual book grant of ₹5,000 for for 4/5 years & other benefits","{'Apply online link': 'https://jbnsts.ac.in/jbexam/instructionsstst2024.php', 'Original website': 'https://jbnsts.ac.in/'}","Jagadis Bose National Science Talent Search Senior Scholarship Test (JBNSTS) 2024 is an opportunity offered by the *Jagadis Bose National Science Talent Search for students who have passed H.S. or an equivalent examination in the year 2024. This scheme caters to the development of creatively talented undergraduate students studying Basic Sciences, Engineering, and Medicine in registered institutions of West Bengal. It aims to conserve scientific talent and ensure the nation's need for science and technology personnel can be met. Selected candidates will receive a scholarship of ₹4,000 and an annual book grant of ₹5,000.*Jagadis Bose National Science Talent Search is an autonomous institute under the Department of Higher Education, Government of West BengalSource:Jagadis Bose National Science Talent Search",jbnsts@jbnsts.ac.in,Null,"Jagadis Bose National Science Talent Search
1300, Rajdanga Main Road
Kasba, Kolkata
West Bengal - 700107
Email ID:
jbnsts@jbnsts.ac.in
| Phone Number:
(033) 24428270",https://jbnsts.ac.in/,mixed
24,Jagadis Bose National Science Talent Search Junior Scholarship Test (JBNSTS) 2024,Class 10 passed students of West Bengal,India,Closed,"A monthly scholarship of ₹1,250 till completion of Class 12 exams","{'Apply online link': 'https://jbnsts.ac.in/jbexam/instructionsjtst2024.php', 'Original website': 'https://jbnsts.ac.in/'}","Jagadis Bose National Science Talent Search Junior Scholarship Test (JBNSTS) 2024 is an opportunity provided by the Jagadis Bose National Science Talent Search* to Class 10 or equivalent examination passed students from West Bengal. The objective of this test is to identify, nurture and motivate talented students to achieve their scientific goals and develop their innovative minds. Selected candidates will receive a monthly scholarship of ₹1,250 for 2 years till the completion of Class 12 exams.*Jagadis Bose National Science Talent Search is an autonomous institute under the Department of Higher Education, Government of West BengalSource:Jagadis Bose National Science Talent Search",jbnsts@jbnsts.ac.in,Null,"Jagadis Bose National Science Talent Search
1300, Rajdanga Main Road
Kasba, Kolkata
West Bengal - 700107
Email ID:
jbnsts@jbnsts.ac.in
|
Phone Number:
(033) 24428270",https://jbnsts.ac.in/,non_monetary
25,Veena Upendra Scholarship 2024,Bihar students pursuing undergraduation degree,India,Closed,"Financial assistance of up to ₹30,000 depending on course fees","{'Apply online link': 'https://docs.google.com/forms/d/e/1FAIpQLSdCBM4KfRrhB4Lxp1NWoxtwQAwARh1OzxTW8lUJnOWY798Mlw/closedform', 'Original website': 'https://www.ydfindia.org/'}","Veena Upendra Scholarship 2024 is an opportunity offered by the Youth Dreamers Foundation (a non-profit organisation) to students who are domiciled in Bihar and are willing to pursue an undergraduate degree from a recognised institution. The selected candidates will receive financial assistance of up to ₹30,000 depending on the course fees.Source:Youth Dreamers Foundation",contact-us@youthdreamersfoundation.org,9153882488,"Youth Dreamers Foundation
Head Office:
D-31, Second Floor, Flat No-2,
Acharya Niketan, Mayur Vihar-1,
Delhi – 110091
Email ID:
contact-us@youthdreamersfoundation.org info@youthdreamersfoundation.org |
Contact Number:
(+91 11) 22799989
Bihar:
Youth Dreamers Foundation
B/194, Chandrayog Apartment, 2nd Floor,
S.K. Puri,  Boring Road, Patna – 800001
Contact Number:
(+91) 9153882488",https://www.ydfindia.org/,monetary
26,Inlaks Research and Travel Grants 2024,Ph.D. degree students in Humanities and Social Sciences,India,Closed,"A travel grant of up to USD 1,000 (approx. ₹83,557.20) with additional benefits","{'Apply online link': 'https://www.inlaksfoundation.org/irtg/inlaks-travel-and-research-grant/', 'Others': 'https://inlaksfoundation.org'}","Inlaks Research and Travel Grant 2024 is an opportunity provided by the Inlaks Shivdasani Foundation* for Ph.D. students in Humanities and Social Sciences at Indian universities. It funds short-term visits abroad for research purposes, including collecting materials, utilising facilities, and consulting with experts. Selected candidates will receive a travel grant of USD 1,000 (approx. ₹83,557.20) with additional benefits to help them cover their research work.*The Inlaks Shivdasani Foundation is an Indian organization that supports talented individuals through scholarships and grants. Established in 1976, it focuses on empowering young Indians to achieve their full potential in various fields.Source:Inlaks Shivdasani Foundation",info@inlaksfoundation.org,Null,"Inlaks Shivdasani Foundation
Aruna Asaf Ali Marg, Qila Rai Pithora
New Delhi, Delhi - 110067
Email ID:
info@inlaksfoundation.org",https://www.inlaksfoundation.org/irtg/inlaks-travel-and-research-grant/,non_monetary
27,"Merit Cum Means Scholarship 2024, Haryana",Haryana students studying in Government/Government-aided institutions,India,Closed,₹500 per month,"{'Original website': 'https://harchhatravratti.highereduhry.ac.in/Index', 'Apply online link': 'https://harchhatravratti.highereduhry.ac.in/MeritcumMeans'}","Merit Cum Means Scholarship 2024, Haryana is an opportunity provided by the Department of Higher Education, Haryana. It is a centralised scholarship program designed to provide financial aid to students belonging to minority communities who are pursuing professional and technical courses at the undergraduate and postgraduate levels. Selected candidates will receive a scholarship of ₹500 per month.Source:Department of Higher Education Haryana",helpdeskscholarship@highereduhry.ac,9416389570,"Directorate of Technical Education, Haryana
Bays No: 7-12, Sector-4
Panchkula - 134112
Email ID:
helpdeskscholarship@highereduhry.ac
| Phone Number:
(+91) 9416389570",https://harchhatravratti.highereduhry.ac.in/Index,monetary
