,Scholarship Name,Eligibility,Region,Deadline,Award,Important Links,Description,Email,Contact Number,Contact Details,link,category
10,SERB Research Scientists Scheme 2020,INSPIRE faculty and Ramanujan fellows,India,Always Open,"INR 1,20,000 per month and other benefits","{'Apply online link': 'http://www.serb.gov.in/srs.php', 'Original website': 'http://www.serb.gov.in/home.php'}","Science and Engineering Research Board (SERB) invites nominations for the SERB Research Scientists Scheme 2020 from INSPIRE Faculty and Ramanujan Fellows. This scheme offer opportunities for young scientists to initiate and sustain research careers in various fields of science and engineering. These schemes do not offer an extension of the fellowship after completion of five years. The selected candidates will be entitled to receive a consolidated emolument of INR 1,20,000 per month and other benefits.",info@serbonline.in,Null,"Science and Engineering Research Board (SERB)
5 & 5A, Lower Ground Floor,
Vasant Square Mall,
Sector-B, Pocket-5, Vasant Kunj,
New Delhi- 110 070
Contact no.: 011–40000310
Email Id: info@serbonline.in",http://www.serb.gov.in/home.php,mixed
11,CSIR Nehru Science Postdoctoral Research Fellowship 2020,PhD degree holders,India,Always Open,"INR 65,000 per month and other benefits","{'Apply online link': 'https://csirhrdg.res.in/Home/Index/1/Default/972/55', 'Original website': 'http://www.csirhrdg.res.in/'}","Council of Scientific and Industrial Research (CSIR) is inviting applications from CSIR Nehru Science Postdoctoral Research Fellowship 2020 from PhD degree holders below 32 years of age. The fellowship aims to identify promising young researchers with innovative ideas and provide them with training and research opportunities in niche area of basic science, engineering, agriculture and medicine. The selected fellows will be paid a consolidated fellowship of INR 65,000 per month, House Rent Allowance (HRA) as admissible and a contingency grant of INR 3 Lakh per annum.",itweb@csir.res.in,Null,"CSIR-Human Resource Development Group
CSIR Complex, Library Avenue
Pusa, New Delhi-110012
New Delhi-110067, India
Email: itweb@csir.res.in",http://www.csirhrdg.res.in/,mixed
12,Visiting Advanced Joint Research Faculty Scheme (VAJRA) 2020,Overseas scientists or faculty,India,Always Open,"Up to USD 15,000 per month","{'Latest scholarship link': 'https://www.serbonline.in/SERB/vajra', 'Original website': 'https://www.serbonline.in/SERB/HomePage', 'Apply online link': 'https://www.serbonline.in/SERB/Registration'}","Science and Engineering Research Board (SERB) invites applications for Visiting Advanced Joint Research Faculty Scheme (VAJRA) 2020 from overseas scientists, faculty and active researchers. The key objective of this faculty scheme is to bring a strong international connect to the R&D ecosystem of India. Selected candidates will receive USD 15,000 in the first month of residence and USD 10,000 in each of the subsequent months.",response@serb.gov.in,Null,"Science and Engineering Research Board (SERB)
5 & 5A, Lower Ground Floor,
Vasant Square Mall,
Sector-B, Pocket-5, Vasant Kunj,
New Delhi - 110 070
Phone: 011–40000398
Email: response@serb.gov.in",https://www.serbonline.in/SERB/vajra,monetary
13,Post Doctoral Fellowships at IIT Palakkad 2020,Doctoral degree holders and PhD students,India,Always Open,"Up to INR 55,000 per month and other benefits","{'Apply online link': 'https://iitpkd.ac.in/post-doctoral-fellowships-iit-palakkad', 'Latest scholarship link': 'https://iitpkd.ac.in/sites/default/files/research/Postdoctoralfellow-Guidelines.pdf', 'Original website': 'https://iitpkd.ac.in'}","Indian Institute of Technology, Palakkad invites applications for Post Doctoral Fellowships at IIT Palakkad 2020 from doctoral degree holders and PhD students who have submitted their thesis. Selected fellows will get fellowship amount of up to INR 55,000 per month and several other benefits.",netadmin@iitpkd.ac.in,04923 226 577,"Indian Institute of Technology Palakkad
Ahalia Integrated Campus
Kozhippara P. O - Palakkad
Kerala, Pin: 678557
Phone: 04923 226 577
Email: netadmin@iitpkd.ac.in",https://iitpkd.ac.in/sites/default/files/research/Postdoctoralfellow-Guidelines.pdf,mixed
14,Physical Research Laboratory Post-Doctoral Fellowship 2020,PhD candidates,India,Always Open,"Up to INR 54,000 per month","{'Apply online link': 'https://www.prl.res.in/prl-eng/pdf', 'Original website': 'https://www.prl.res.in/prl-eng/home'}","The Physical Research Laboratoryinvites applications for the Physical Research Laboratory Post-Doctoral Fellowship 2020 from PhD candidates. The aim of this fellowship is to promote post-doctoral research in areas of laboratory. Selected fellows will get up to INR 54,000 per month and other benefits.",pdf@prl.res.in,+91-79-26314 000,"Physical Research Laboratory
Navrangpura,
Ahmedabad - 380 009, India
Phone: +91-79-26314 000
Email:
pdf@prl.res.in",https://www.prl.res.in/prl-eng/home,monetary
15,IITDM Kancheepuram Postdoctoral Research Fellowships 2020,PhD degree holders,India,Always Open,Variable awards,"{'Apply online link': 'http://iiitdm.ac.in/img/Others/Rolling_Advt_PostDoc.pdf', 'Original website': 'http://www.iiitdm.ac.in/'}","Indian Institute Information Technology, Design, and Manufacturing, Kancheepuram invites applications from PhD degree holders for IITDM Kancheepuram Postdoctoral Research Fellowships 2020. The aim of this fellowship is to support the researchers in undertaking independent research work in advanced areas of engineering and technology. Selected scholars will get INR 50,000 per month for the first year and INR 55,000 for the second year, and conference travel and a contingency grant of INR 1,00,000 per year.",dean-ac@iiitdm.ac.in,Null,"Dr. Binsu J Kailath
Dean Academics
Indian Institute of Information Technology Design and Manufacturing
Melakottaiyur, Off Vandalur- Kelambakkam Road
Chennai – 600127
Email:
dean-ac@iiitdm.ac.in",http://www.iiitdm.ac.in/,other
16,University of Melbourne Science Graduate International Scholarship 2020,Science graduate students,Australia,Always Open,"Up to AUD 10,000","{'Apply online link': 'https://scholarships.unimelb.edu.au/awards/science-graduate-scholarships-international', 'Original website': 'https://unimelb.edu.au/'}","University of Melbourne, Australia invites applications for University of Melbourne Science Graduate International Scholarship 2020 from graduate students at the University. The scholarship aims to support high-achieving international students undertaking graduate study at the University of Melbourne. Selected students will get tuition fee remission of AUD 10,000.",scifuture-students@unimelb.edu.au,Null,"The University of Melbourne
Victoria 3010
Phone: +(61 3) 9035 5511
Email:
scifuture-students@unimelb.edu.au",https://unimelb.edu.au/,monetary
17,Monash College India-Monash Business School Undergraduate Scholarship,Undergraduate students,Australia,Always Open,"AUD 10,000 per annum","{'Original website': 'https://www.monash.edu/', 'Apply online link': 'https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship/monash-college-india-monash-business-school-undergraduate-scholarship?international=true'}","Monash University, Australia invites applications for Monash College India-Monash Business School Undergraduate Scholarship 2020 from bachelor's degree applicants. The scholarship aims to support the study of students who have completed the Monash College International Pathway India Program and are commencing a bachelor's degree in MBUS at an Australian campus. Selected students will receive AUD 10,000 per annum for two years.",media@monash.edu,+61 3 9903 4788,"Monash University
Victoria 3800
Australia
Phone: +61 3 9903 4788
Email:
media@monash.edu",https://www.monash.edu/,monetary
18,Monash University Maria Athanassenas Honours Scholarship 2020,Science honours degree applicants,Australia,Always Open,"AUD 3,000","{'Original website': 'https://www.monash.edu/', 'Apply online link': 'https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship/maria-athanassenas-honours-5681?international=true'}","Monash University, Australia invites applications for Monash University Maria Athanassenas Honours Scholarship 2020 from science honours degree applicants. The scholarship aims to support the study of students intending to enrol in a science honours degree at Monash in the area of mathematical science. Selected students will receive an award of AUD 3,000 for one year.",media@monash.edu,+61 3 9903 4788,"Monash University
Victoria 3800
Australia
Phone: +61 3 9903 4788
Email: media@monash.edu",https://www.monash.edu/,monetary
19,Monash University Lorelle and Tom Krulis Exchange Grant in Jewish Studies 2020,Undergraduate and postgraduate students,Australia,Always Open,"AUD 2,000","{'Original website': 'https://www.monash.edu/', 'Apply online link': 'https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship/lorelle-and-tom-krulis-exchange-grant-in-jewish-studies-5793?international=true'}","Monash University, Australia invites applications for Monash University Lorelle and Tom Krulis Exchange Grant in Jewish Studies 2020 from undergraduate and postgraduate students who have been accepted for a semester abroad at one of the partner institutions of Monash University to study Jewish Studies. The aim of this scholarship is to support the students so that they can learn more about the culture, literature, politics, and histories of Jewish civilization. Selected students will get AUD 2,000.",media@monash.edu,+61 3 9903 4788,"Monash University
Victoria 3800
Australia
Phone: +61 3 9903 4788
Email: media@monash.edu",https://www.monash.edu/,monetary
20,Monash University Gordon Preston Pure Mathematics Honours Scholarship 2020,Honours applicants,Australia,Always Open,"AUD 5,000 for one year","{'Apply online link': 'https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship/gordon-preston-pure-mathematics-honours-5689?international=true', 'Original website': 'https://www.monash.edu/'}","Monash University, Australia invites applications for Monash University Gordon Preston Pure Mathematics Honours Scholarship 2020 from undergraduate applicants. The scholarship aims to support the study of students who want to further their passion for pure mathematics through the research study. Selected students will receive AUD 5,000 for one year.",media@monash.edu,+61 3 9903 4788,"Monash University
Victoria 3800
Australia
Phone: +61 3 9903 4788
Email: media@monash.edu",https://www.monash.edu/,monetary
21,Monash International Merit Scholarship 2020,Undergraduate and postgraduate degree applicants,Australia,Always Open,"AUD 10,000 per annum","{'Original website': 'https://www.monash.edu/', 'Latest scholarship link': 'https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship/international-merit-5770?international=true', 'Apply online link': 'https://docs.google.com/forms/d/e/1FAIpQLSfgqQA20MmcS9tu1az8IEK9CJcnFTBEDy7oTVTPZsmjMcLHaw/viewform'}","Monash University, Australia invites applications for Monash International Merit Scholarship 2020 from current and future students intending to pursue an undergraduate or postgraduate course at Monash University. A total of 31 selected students will receive a benefit of AUD 10,000 per annum.",Null,1800 666 274,"Monash University
Victoria 3800
Australia
Phone: 1800 666 274, +61 3 9903 4788",https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship/international-merit-5770?international=true,monetary
22,Monash University Ian Little Honours Scholarship 2020,B.Com. (Hons.) and Bachelor of Economics (Hons.) applicants,Australia,Always Open,"AUD 15,000","{'Apply online link': 'https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship/ian-little-honours-scholarship-5769?international=true', 'Original website': 'https://www.monash.edu/'}","Monash University, Australia is offering IanLittle Honours Scholarship 2020 to students who wish to pursue an Honours degree in Economics from Monash Business School. This scholarship award is intended to provide financial assistance to the deserving and meritorious students. Selected one scholar will receive AUD 15,000 for one year under this scholarship scheme.",Null,1800 666 274,"Monash University
Victoria 3800
Australia
Phone: 1800 666 274, +61 3 9903 4788",https://www.monash.edu/,monetary
23,Monash University Biomedicine International Articulation Scholarship 2020,Bachelor of Biomedical Science applicants,Australia,Always Open,"AUD 3,000 per annum","{'Original website': 'https://www.monash.edu/', 'Apply online link': 'https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship/biomedicine-international-articulation-scholarship?international=true'}","Monash University, Australia invites applications for Monash University Biomedicine International Articulation Scholarship 2020 from students commencing the Bachelor of Biomedical Science course at the Clayton campus of the university. Selected students will receive AUD 3,000 per annum for a maximum of three years.",media@monash.edu,+61 3 9903 4788,"Monash University
Victoria 3800
Australia
Phone: +61 3 9903 4788
Email:
media@monash.edu",https://www.monash.edu/,monetary
24,Monash University Engineering Excellence Scholarship 2020,Engineering undergraduate students,Australia,Always Open,"AUD 6,000 per annum","{'Apply online link': 'https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship/engineering-excellence-4093A?international=true', 'Original website': 'https://www.monash.edu/'}","Monash University, Australia invites applications for Monash University Engineering Excellence Scholarship 2020 from engineering undergraduate students. The scholarship aims to support commencing Engineering students and is awarded based on academic achievement. Selected students will get AUD 6,000 per annum for a maximum duration of four years.",media@monash.edu,+61 3 9903 4788,"Monash University
Victoria 3800
Australia
Phone: +61 3 9903 4788
Email:
media@monash.edu",https://www.monash.edu/,monetary
25,Monash University Master of Professional Engineering International Scholarship 2020,Master's degree applicants,Australia,Always Open,"AUD 10,000","{'Original website': 'https://www.monash.edu/', 'Apply online link': 'https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship/master-of-professional-engineering-international-scholarship?international=true#scholarship-details'}","Monash University, Australia invites applications for Monash University Master of Professional Engineering International Scholarship 2020 from international students enrolling in the Master of Professional Engineering program at Monash campus. Selected students will get AUD 10,000 per 48 credit points of study for a maximum of two years.",media@monash.edu,+61 3 9903 4788,"Monash University
Victoria 3800
Australia
Phone: +61 3 9903 4788
Email: media@monash.edu",https://www.monash.edu/,monetary
26,"Jai Bhim Mukhyamantri Pratibha Vikas Yojna, Delhi 2020",Coaching classes students,India,Always Open,"Up to INR 1,00,000","{'Original website': 'http://scstwelfare.delhigovt.nic.in/wps/wcm/connect/DoIT_Welfare/welfare/home/', 'Latest scholarship link': 'http://scstwelfare.delhigovt.nic.in/wps/wcm/connect/ad842f004b536ad390d6b069afcf294d/Jai+Bheem.pdf?MOD=AJPERES&lmod=526996447&CACHEID=ad842f004b536ad390d6b069afcf294d&Jai%20Bheem%20Guidelines/Format'}","Council of Ministers, Government of NCT of Delhi invites applications forJai Bhim Mukhyamantri Pratibha Vikas Yojna, Delhi 2020from students studying in the coaching institutes of Delhi and having a family income less than INR 8,00,000 per annum. This scholarship aims to support the study of all the needy students who wish to make their dream come true.",dscstschscheme.delhi@gov.in,011-23379511,"Department for the welfare of SCs, STs, OBCs, and Minorities,
Government of NCT of Delhi, B Block,
2nd Floor, Vikas Bhawan,
I.P. Estate, New Delhi-110002,
Phone-
011-23379511,
Email-
dscstschscheme.delhi@gov.in",http://scstwelfare.delhigovt.nic.in/wps/wcm/connect/ad842f004b536ad390d6b069afcf294d/Jai+Bheem.pdf?MOD=AJPERES&lmod=526996447&CACHEID=ad842f004b536ad390d6b069afcf294d&Jai%20Bheem%20Guidelines/Format,monetary
27,J.C Bose Grant for Scientist and Engineers 2025,Scientists,India,Closed,"Research grant of ₹25,000 per month and an overhead of ₹1,00,000 per annum","{'Latest scholarship link': 'https://anrfonline.in/ANRF/jcbose_anrf', 'Apply online link': 'https://anrfonline.in/ANRF/'}","J.C Bose Grant for Scientist and Engineers 2025 is an opportunity offered by the Anusandhan National Research Foundation (ANRF), formerly the Science & Engineering Research Board (SERB), to outstanding scientists/researchers. It aims to recognise the performance and contributions of such individuals. The grant provides an annual research grant of ₹25 lakh and an annual overhead of ₹1 lakh.Source:Anusandhan National Research Foundation",support@anrfonline.in,Null,"Anusandhan National Research Foundation (ANRF)
4th Floor, AI Block, Technology Bhawan Complex
New Mehrauli Road, New Delhi-110016
Email ID:
support@anrfonline.in
| Phone Number:
(011) 26552197/26552179",https://anrfonline.in/ANRF/jcbose_anrf,mixed
28,Institute Post Doctoral Fellowship - IIT Ropar 2020,PhD degree holders,India,Always Open,"INR 45,000 - INR 55,000 and other benefits","{'Original website': 'http://www.iitrpr.ac.in/logo-iit-ropar', 'Apply online link': 'http://www.iitrpr.ac.in/sites/default/files/ApplicationForm_3_0.pdf', 'Latest scholarship link': 'http://www.iitrpr.ac.in/institute-post-doctoral-fellowship'}","IIT Ropar invites applications for Institute Post Doctoral Fellowship - IIT Ropar 2020 from PhD degree holders to join as a Post Doctoral Fellow in the various Departments/Centres of IIT Ropar. The fellowship aims to encourage bright minds to carry out research programmes at IIT Ropar. The selected fellows will receive a consolidated fellowship of INR 45,000 to INR 55,000 (depending upon the qualification and experience) and other benefits.",Null,Null,"Address:
Indian Institute of Technology Ropar,
Nangal Road, Rupnagar,
Punjab, India 140001.",http://www.iitrpr.ac.in/institute-post-doctoral-fellowship,mixed
29,"Faculty of Engineering Dean's Merit Scholarship 2020, Canada",Undergraduate applicants,Canada,Always Open,"CAD 4,000 to 5,000","{'Apply online link': 'https://scholarships.uottawa.ca/', 'Original website': 'https://www.uottawa.ca/', 'Latest scholarship link': 'https://www.uottawa.ca/financial-aid-awards/scholarships-and-bursaries', 'Others': 'https://scholarships.uottawa.ca/p/a/17541/'}","The University of Ottawa invites applications for Faculty of Engineering Dean's Merit Scholarship 2020 from commencing engineering students of the university. This scholarship aims to recognize the outstanding newly admitted students at the Faculty of Engineering. The selected student will receive up to CAD 5,000.",loansandawards@uOttawa.ca,613-562-5734,"Financial Aid and Awards
Desmarais Building
55 Laurier Avenue East, Room 3156
Ottawa, ON K1N 6N5
Canada
Phone:
613-562-5734
Email:
loansandawards@uOttawa.ca",https://www.uottawa.ca/financial-aid-awards/scholarships-and-bursaries,other
30,Deakin India 20% Postgraduate Bursary 2021,Postgraduate degree applicants,Australia,Always Open,20% tuition fee waiver,"{'Latest scholarship link': 'https://www.deakin.edu.au/courses/fees-scholarships/scholarships/find-a-scholarship/deakin-india-pg20-bursary', 'Others': 'https://www.deakin.edu.au/courses/key-dates', 'Original website': 'https://www.deakin.edu.au'}","Deakin University, Australia invites applications for Deakin India 20% Postgraduate Bursary 2021 from Indian graduate students. The purpose of this bursary is to assist deserving students in paying for their university fees and all study costs. The selected students will receive 20% of their total tuition fees.",southasia@deakin.edu.au,+61 3 9244 6100,"Deakin University
Locked Bag 20000
Geelong VIC 3220
Australia
Phone: +61 3 9244 6100
Email: southasia@deakin.edu.au",https://www.deakin.edu.au/courses/fees-scholarships/scholarships/find-a-scholarship/deakin-india-pg20-bursary,tuition_waiver
31,Deakin Vice Chancellor’s International Scholarship 2020,Postgraduate coursework applicants,Australia,Always Open,Full or 50% tuition fees waiver,"{'Latest scholarship link': 'https://www.deakin.edu.au/courses/fees-scholarships/scholarships/find-a-scholarship/deakin-vice-chancellors-international-scholarship', 'Original website': 'https://www.deakin.edu.au'}","Deakin University, Australia invites applications for Deakin Vice Chancellor’s International Scholarship 2020 from students commencing a coursework degree at the university. The aim of this scholarship is to recognize the students with excellent academic performance and potential to make a leading contribution to the university and its campuses. Selected students will get full or 50% tuition fees reduction and other benefits.",deakin-international@deakin.edu.au,+61 3 9627 4877,"Deakin University
Locked Bag 20000
Geelong VIC 3220
Australia
Phone: +61 3 9627 4877
Email:
deakin-international@deakin.edu.au",https://www.deakin.edu.au/courses/fees-scholarships/scholarships/find-a-scholarship/deakin-vice-chancellors-international-scholarship,tuition_waiver
32,Deakin University International Scholarship 2020,Postgraduate coursework applicants,Australia,Always Open,25% tuition fee reduction,"{'Original website': 'https://www.deakin.edu.au', 'Latest scholarship link': 'https://www.deakin.edu.au/courses/fees-scholarships/scholarships/find-a-scholarship/deakin-international-scholarship'}","Deakin University, Australia invites applications for Deakin University International Scholarship 2020 from students commencing a coursework degree at the university. The aim of this scholarship is to recognize the students with excellent academic performance and potential to make a leading contribution to the university and its campuses. Selected students will get a 25% reduction in tuition fees for the normal duration of the course.",deakin-international@deakin.edu.au,+61 3 9627 4877,"Deakin University
Locked Bag 20000
Geelong VIC 3220
Australia
Phone: +61 3 9627 4877
Email:
deakin-international@deakin.edu.au",https://www.deakin.edu.au/courses/fees-scholarships/scholarships/find-a-scholarship/deakin-international-scholarship,tuition_waiver
